date,review,star,res
"May 4, 2020",Horrible in game ads in a paid game really ruin the awesome experience this game offer. Dev please remove any ads from paid user. Thanks for the response: will update the rate when such feature to remove ads are implemented. Thanks. Thanks for the update to remove ads. It's 100% much better experience now. I just wish it would be done sooner and not through IAP,5,"Giant NetworkMay 3, 2020Hello Mr. Sandi. We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it.Your payment will bring hope for the future development of the game. Thanks for your understanding and supporting. Have fun gaming!❤️"
"February 26, 2021",I liked the game a lot but it forgot my purchase of the diaries mode often. I was correcting this everytime i started the game by going to repurchase it again and the game would recognize I had already bought it. Now it is just asking me to buy it again despite being in the middle of a run. It was fun while it worked but I'm not going to buy the mode I enjoy better twice.,1,"Giant NetworkMarch 2, 2021Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!"
"April 29, 2020","It was really fun. Buuuuut. It takes a very long time to download. It also takes some starting and restarting to actually get the game to work , and there is only one free character. The rest you have to pay for. And quite it was fun, the one character (the knight) doesn't provide any real versatile game play. Its a shame, really",2,"Giant NetworkApril 30, 2020Greetings! Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do feel free to contact us on FB: https://www.facebook.com/NightofFullMoonCardGame/ for further inquiries. Do enjoy the game and please rate for us again! Thank you :D"
"February 7, 2021",I almost gave it five stars but the combat balance is garbage. I can't even get through the first chapter without needing to fight some dude that finds a way to insta kill me after a few rounds. Only way I've gotten past him is by restarting the game and hoping I get lucky this time. Other then that I genuinely enjoy it,4,"Giant NetworkFebruary 9, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"July 29, 2020","What I really like about this game is the visuals and challenges it gives. Some parts of the game is rng and requires some strategy which I really enjoy. It's a good card game, but it kinda bothers me that you get only the knight class for free while the rest cost a dollar to unlock. I would understand if the new classes added cost a dollar, but I think a free tryout for each class would be nice to see if someone wants to buy the class.",4,"Giant NetworkJuly 30, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"December 1, 2020","Insane amounts of replayability and 100% worth the money for all the expansions and the ad removal (dont worry, the ads arent super intrusive or overly annoying). Overall the best card game experience I have found on any platform. Edit: Finally reached 100% completion in every area of this game and it has been one of the best gaming experiences I have had in my 25 years of playing video games. Thank you for the wonderful time!",5,"Giant NetworkDecember 2, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"April 22, 2020","Good basis for a fun game but most of the actions have to be bought. You only get the one pack and then the rest of the game has to be completely bought. The boss level is hard to do with the cards they give, one small decision on what you want to upgrade can change the entire game. It ridiculous that even after farming and killing each monster in every level you still cannot buy cards or anything to upgrade the cards. The expansion packs of course are only for purchase. I am dissatisfied.",2,"Giant NetworkApril 22, 2020Hello, We are sorry that you do not like the game but we thank you for your feedback. Our future updates will improve the game for you."
"October 8, 2020","Music is beautiful. Art style is very fitting too. Voice Acting is the best. Everything in this game is so done in High Quality. I didn't expect to have such an amazing experience. It's very atmospheric, there were no annoying ads, and the puzzle minigame was such a treat. I keep on installing it again whenever I miss it. This is an offline campaign driven card game but it feels like the popcap and gamehouse games in the XP days. Casual and fun",5,"Giant NetworkOctober 9, 2020Hello! Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"July 14, 2020","The devs put a lot of love in this game, including stereo soundtrack and voice acting. They do a great job of scaling difficulty and with letting the player find ways to work builds to their advantage. Overall, it's great, well made game. Downsides are some translation issues with interpreting card effects, and (at least, for me) the ""church is evil"" story theme. The different classes are fun, as is the art style.",5,"Giant NetworkJuly 15, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"October 30, 2020","I've enjoyed the story and game play. Paying twice to get rid of ads was a bit silly so only four stars. Adding to the above, this game has a lot of card descriptions that do not hold up. Example Multiplying Bullet states: Deal damage X. Draw 1 card. What it actually does is not just draw a card, but also play it. This is crucial information if you are trying to do combo decks.",4,"Giant NetworkJuly 13, 2020Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D"
"November 20, 2020",One of my favorite rouge like deck builders. Very well made had a few bugs along the way but they fixed them quickly. Honestly can't wait for them to make more games of this quality. Would like to see 1 final class that's a mix of all classes that's customizable. Were players can choose a mix of blessings that show up and a mix of cards that appear throughout the adventure. Just have it were you can toggle on and off for X amount of cards and X amount of blessings of each rarity.,5,"Giant NetworkNovember 24, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"November 20, 2020","THIS GAME IS PERFECT, I love playing this game. But I am a little sad, I can't pay for the other characters. I think you could do objectives to unlock ranger, nun and witch, they don't need to be easy, the others ones can be payed, I think it can give more content to the ones that cannot buy the game =D.",5,"Giant NetworkNovember 24, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"June 21, 2020",I love this game and honestly I wouldn't review games normally but I dont know how to report a bug. The nun is experiencing a bug where cards like possession won't draw a card when there supposed to. This is on hard 2 so maybe this is only for that difficultly but it makes it near unplayable. Hope this gets it fixed and other wise this game is god teir and one of the few mobile games I recommend.,5,"Giant NetworkJune 22, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"August 1, 2020","Love it Just love how the narrative taking a different kind of approach to tell a story thats youve hear countless of times Altho its a bit lacking in terms of gameplay I do like a card, rogue-elite kinda game but this def not stand above em The music in the other hand my god the audio all the sounds that produced by this game is masterpiece yeah and the voice actor too, awesome",4,"Giant NetworkAugust 3, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"August 24, 2020","The game looks very good, but.... I just don't get the gameplay. You get 2 cards (or more with upgrades) per turn... and you play those 2 cards (or how many you have). There is zero decision making. Sure, you choose the cards and upgrades between fights, but why do I even have to play the fights when there is no decision involved? Just automatically play the damn cards! There are better versions of this genre, this one is very boring.",2,"Giant NetworkAugust 24, 2020We will optimize the game！"
"June 26, 2020","Fun, simple deckbuilder that's still in early stages of development. Gameplay is solid. Will rate 5 stars when the game is more polished. It currently still needs spelling corrections (word ""tune"" needs to be ""turn"" in UI tooltips for example), & needs a good native English speaker to fix subject-verb agreement in a few descriptions.",4,"Giant NetworkJune 27, 2020We'll optimize the spelling！"
"August 15, 2020",This game is wonderful card game roguelike. I found this game around 3-4 month. Download content of this game can change the style playing card. Before you playing you have to choose your jobs. And go to defeat monster and events in the game trail. Design game play is very amezing. If you want to dond something new from other card game roguelike this game is recommended from me. Ps. When is the next DLC of this game is arrive? I waiting you here!!!,5,"Giant NetworkAugust 16, 2020Please update the version, we have new content for you."
"August 8, 2020","I downloaded this game last year. Loved it so I bought the full version and all extensions. Recently the game had an update and I lost all my progress, achievements and access to the full game. I enjoyed the game so much I was happy to play through again. But now it wants me to pay again and give access to alter my phone. So I uninstalled the game. Very much a bummer.",1,"Giant NetworkAugust 10, 2020Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!"
"February 28, 2021","Great casual game, wonderful art and production values. Each class feels unique and plays differently. There isn't much variety within the class though, so each time you play a knight it will play mostly the same. Still, it's very entertaining, The adds are reasonable, and it looks and feels wonderful to play. Definitely recommend",5,"Giant NetworkMarch 2, 2021Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
"November 13, 2020","The art style in this game is amazing, the gameplay feels satisfying even if repetitive at times and the story is simple but its not bad. 3 stars because most of the game is behind a paywall, even if its not much it stops me and im guessing other people from playing once we've done all the ftp stuff. I wish we could unlock at least some characters with challenges or quests. Edit: you gain a star for that response. Keep doing a great job with the game guys!",4,"Giant NetworkNovember 13, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"October 20, 2020","High replay value! This game is highly addictive Because it's so fun. The replay valuebis high because each play through is different with enemies, perks and cards. It's reasonably priced to buy all the full functions. Well worth the money and time. You won't be able to put it down. I can't wait for the new class to come out!",5,"Giant NetworkOctober 22, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
"September 30, 2020","This game has quickly become my favorite. Awesome writing and art style! Many games like this tend to try to limit playstyles by having to keep your deck as small as possible, but this game encourages (with some classes) bigger builds! Fantastic game, totally worth the edition upgrade price. There are so many classes, cards, monsters, bosses, endings... Bravo",5,"Giant NetworkOctober 9, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 29,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"June 7, 2020","This is a ""slay the spire"" kind of single player adventure card game with multiple classes and several different play styles. Every enemy is voice acted and every card has very nice art. The only gripe I have with this game is that it isn't totally balanced. The soul eater and the knight class for example only really has one viable build. Soul eater can only really do an absorb build and knight can only really do an artillery equipment build (for the higher difficulties)",4,"Giant NetworkJune 7, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"October 19, 2020","This is a very enjoyable deck builder, one of the best on mobile. The classes have distinct styles from each other, and within. I have purchased all the DLC and the found the prices reasonable. One of my best mobile purchases. My only 2 complaints are that there is not a higher difficulty, as I have played this game so much that the top difficulty rarely poses a challenge, and that the difference between the strongest and worst classes is huge. I always find myself coming back to this game.",5,"Giant NetworkOctober 19, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"January 7, 2021","Had to uninstall because it did not work on my phone, that is a little old. Says ""resource incomplete"" and asks to reinstall, which I accept but it does not work still. I got a black screen for many minutes and then app stopped responding. I give 3 stars because the game looks like it would be fun, I really like these deck builder games, too bad I can't try it. I guess I will have to buy a new phone... someday. Would love to see a PC version, maybe on itch.io or steam? Just a suggestion. :)",3,"Giant NetworkJanuary 8, 2021We are sorry to hear that you feel this way. Please upgrade your Android OS～"
"August 9, 2020","I normally don't write reviews for games and I normally don't pay for games but this one has me hooked, I've played many like it but this one tops the chart. The gameplay is great, the classes all feel balanced and viable and there are multiple ways to play them and the difficultly spike is just right, this game has kept me coming back, overall an awesome game and definitely the perfect time waster.",5,"Giant NetworkAugust 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"May 25, 2020","Great game. I do hope the devs make the game into like a coop game or make it so that you can play like multiple roles in one run, where you control red riding hood or the boy at the same time against the baddies. After i bought the game though there are times in where the game just freezes, very small inconvenience",4,"Giant NetworkMay 25, 2020Hello. Thank you for supporting us! We appreciate it so much! Your payment will bring hope for the future development of the game. If there is any issue or suggestion feel free to reach us on FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"July 8, 2020",Wow I haven't played a game like this since Slay the Spire . Granted this game so far is easier but damn is it addictive and fun. No gacha stuff (thankfully) and even their paid stuff isn't too outlandish in price . I highly recommend this for any card game enthusiasts or Brothers Grimm Tales lovers . Game is fantastic and I look forward to what they bring next,5,"Giant NetworkJuly 9, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"May 28, 2020",Keeps freezing after headphones screen game is broken unless the devs have a fix.re. tried what you guys suggested did not work screenshot is just a black screen I think it has something to do with Google Play Network because that's not popping up either music is still playing in the background but it's a black screen right after put on your headphones screen,2,"Giant NetworkMay 25, 2020Sorry for the problem. You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）. If can not sovle it, please sent the screenshot to our email: nofmgame@hotmail.com."
"May 14, 2020","How do you continue the game? It started ok yesterday as my first time. Now today it just starts with a book on a table. Tapped everywhere and ""continue"" is nowhere to be found. Surely the new adventure is not what I want but its the only option. Real bad GUI if you ask me then :-(. Game does not save I guess.",1,"Giant NetworkMay 14, 2020Hello. Thank you for your feedback.We apologize for any inconvenience caused. Because the game has been updated, there will be some BUGs, and we are trying to fix it. We promise to give you a better gaming experience in the future!"
"July 27, 2020","This is actually a really good game. I had my doubts but it's fun and it's got some depth to it. my only issue so far is that the interface doesnt adapt to my phone. I actually cannot see the Continue Button (for continuing your adventure) and didn't find out until i had accidentally split screened. I had restarted from the beginning each time i had played previously. For the record, i have an Oppo a9 2020. Would be grateful to see the menu buttons get rearranged so i can see them all.",4,"Giant NetworkJuly 28, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"June 15, 2020","The gameplay is good, the art is nice. It's just a shame that the base game is locked in permanent demo mode unless you pay ridiculous prices for the extra classes. For 5 USD this could be a goat android game but instead choose to be deceitful and predatorial in its practices. I recommend you play it once, beat it and then uninstall because the other classes arent worth the ""value"" they sell it at.",2,"Giant NetworkJune 15, 2020Greetings Hero! Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future!"
"July 10, 2020","So the game is great. The story is interesting but not that big, which honestly is preferable. There is no unnecessary padding. Everything about the base gameplay is great. However for the Diaries 'mode' I've encountered a slight issue, mainly with the mage. The only way to beat the Hard mode that I've found is using a very specific (and rare) blessing which relies on my deck being able to apply the chilling effect. Adding more varied powerful cards to the harder difficulties could solve this.",4,"Giant NetworkJuly 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"August 4, 2020","I've always loved RPG card games, and this is one of my favorites! The artstyle and animations are so smooth, also the audio! I like the voice acting that they have. Also that from time-to-time, that you can interact with the characters. This is a very unique game that I totally recommend to other card game lovers! You can tell that the devs worked hard on this game. Good job, keep it up!",5,"Giant NetworkAugust 4, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"June 22, 2020","Great art, sounds, and music. The game let's you play though the first character role and then you have to pay, but the price isn't too bad to unlock most of the game. However, you'll still have ads and you'll still have a couple things locked behind paywalls, such as one other role and what amounts to DLC. There are some translation issues in the game, but nothing that breaks the dialogue as you can still get what they're trying to say without much effort.",4,"Giant NetworkJune 23, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"January 4, 2021","I have been playing this game since Jan 2017. This game is great. I was going to write an in depth review, but who will read it. The translation is really good but their will always be typos and mistakes. I crashed the game twice yesterday, but that was the first time. Oh, and I finally bought the collectors edition today. Until now, all I played was the first class.",5,"Giant NetworkJanuary 4, 2021Hello！We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"September 11, 2020","Why this APK have different bodies... OBB/APK can you just make this 1 whole APK i would really appreciate if you do this next Update.... the problem is my Phone cant automatically place OBB files to Obb storage I've gotta do it manually"" Its really stressful but hood thing I knew how to do it..... NOTICE ME DEVs dont reject my Opinion",4,"Giant NetworkSeptember 11, 2020You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）"
"February 4, 2021","Solid gameplay, great art style, and pretty balanced difficulty curve. Shame that you have to spend to unlock more classes, but for any card game that wants to be successful, 7 bucks is a minuscule price to pay for the content you get. And with the amount of care put into the game, it's clear that you should support these devs.",4,"Giant NetworkFebruary 9, 2021Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"June 27, 2020","Felt like I was played For no additional content whatsoever, they just add in the extra unskipable advisements into the gameplay (for example when you refresh a greedy chest) and then asking for the purchase of ""ad removal"". For me who already spent money for the previous extra content now I get slapped in the face with unskipable ads I was betrayed. What a greedy company, don't recommend at all.",1,"Giant NetworkJune 27, 2020We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!"
"May 12, 2020","I love this game, I really do, however there needs to be a serious change to the playability of the game. I wish that all of the harder base levels of the game at least could be for free (Ranger, Nun Witch), only when you complete the previous Hardest variation of the last Difficulty I currently have 29 wins on the Knight (Hard VII) Difficulty, And there's only so much you can do the same of, since I've beat all of the achievements that you can do on knight Difficulty, so I'll do 4 stars.",4,"Giant NetworkMay 12, 2020Hello, Domin Cuba. Thank you for supporting us! We appreciate it so much! Your payment will bring hope for the future development of the game. If there is any issue or suggestion feel free to reach us on FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"November 3, 2020","Fun game with a nice art style and engaging gameplay that's easy at first but gets much harder. If you want to beat the really tough enemies in hard mode, you're going to need luck to have good cards in your deck and the right cards in your hand on the first turn, resulting in more than a few resets. But at the end of the day, it feels satisfying playing your entire deck and doing 400 damage in 1 turn when you feel like that shouldn't be a thing.",5,"Giant NetworkNovember 3, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"November 27, 2020","I Love this game! I love the style, the mechanics in this game, and lot's of strategys that I can play with. but of course there are some nickpicking I have to say and hoping for future updates. 1. I don't like the fact that Forest Spirit have a ability to turn half of my cards into claws and revive himself I would be fine if he just only revive himself but I can't beat him! 2. Would be nice if there is at least 3-5 save slots each time I want to play a different class. Overall great game!",5,"Giant NetworkNovember 27, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"February 26, 2021","This game is in my opinion a perfect gem. As in other games aswell, you either watch some ads or pay to go adfree. I paid and never regretted it. I even went on and bought the rest of the content. Now why is it such a beauty: + beautiful art design + awesome music and sounds + interesting game mechanics (a lot of classes to try out, and every class can be played in different ways) + less luck based then other RLCC + Nice Story",5,"Giant NetworkFebruary 26, 2021We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 31,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"February 10, 2021","Its such and awnsome game, when i played it for the first time i had thought this would be boring but before i knew it time had flown by like 2 hours, i really love it and its simple and easy to understand as well as intresting its really a complete game, HOWEVER!! THERE ARE TO MANY THINGS YOU HAVE TO PAY FOR LIKE COME ON THIS IS WERE IT WENT DOWN HILL AT LEAST MAKE IT ABLE TO UNLOCK SOME OF THE OTHER CLASSES LIKE COMON. Please make more things free so we can enjoy our lives a bit more.",4,"Giant NetworkFebruary 19, 2021Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
