,date,review,star,res,clean_content,topic
19,"July 29, 2020","What I really like about this game is the visuals and challenges it gives. Some parts of the game is rng and requires some strategy which I really enjoy. It's a good card game, but it kinda bothers me that you get only the knight class for free while the rest cost a dollar to unlock. I would understand if the new classes added cost a dollar, but I think a free tryout for each class would be nice to see if someone wants to buy the class.",4,"Giant NetworkJuly 30, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
21,"April 22, 2020","Good basis for a fun game but most of the actions have to be bought. You only get the one pack and then the rest of the game has to be completely bought. The boss level is hard to do with the cards they give, one small decision on what you want to upgrade can change the entire game. It ridiculous that even after farming and killing each monster in every level you still cannot buy cards or anything to upgrade the cards. The expansion packs of course are only for purchase. I am dissatisfied.",2,"Giant NetworkApril 22, 2020Hello, We are sorry that you do not like the game but we thank you for your feedback. Our future updates will improve the game for you.",giant networkapril hello sorri like game thank feedback futur updat improv game,[0]
24,"October 30, 2020","I've enjoyed the story and game play. Paying twice to get rid of ads was a bit silly so only four stars. Adding to the above, this game has a lot of card descriptions that do not hold up. Example Multiplying Bullet states: Deal damage X. Draw 1 card. What it actually does is not just draw a card, but also play it. This is crucial information if you are trying to do combo decks.",4,"Giant NetworkJuly 13, 2020Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D",giant networkjuli thank support us apolog inconveni caus promis give better game experi futur enjoy game pleas rate us thank,[4]
28,"August 1, 2020","Love it Just love how the narrative taking a different kind of approach to tell a story thats youve hear countless of times Altho its a bit lacking in terms of gameplay I do like a card, rogue-elite kinda game but this def not stand above em The music in the other hand my god the audio all the sounds that produced by this game is masterpiece yeah and the voice actor too, awesome",4,"Giant NetworkAugust 3, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkaugust hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
29,"August 24, 2020","The game looks very good, but.... I just don't get the gameplay. You get 2 cards (or more with upgrades) per turn... and you play those 2 cards (or how many you have). There is zero decision making. Sure, you choose the cards and upgrades between fights, but why do I even have to play the fights when there is no decision involved? Just automatically play the damn cards! There are better versions of this genre, this one is very boring.",2,"Giant NetworkAugust 24, 2020We will optimize the game！",giant networkaugust optim game,"[0, 1, 2, 3, 4]"
30,"June 26, 2020","Fun, simple deckbuilder that's still in early stages of development. Gameplay is solid. Will rate 5 stars when the game is more polished. It currently still needs spelling corrections (word ""tune"" needs to be ""turn"" in UI tooltips for example), & needs a good native English speaker to fix subject-verb agreement in a few descriptions.",4,"Giant NetworkJune 27, 2020We'll optimize the spelling！",giant networkjun optim spell,"[0, 1, 2, 3, 4]"
32,"August 8, 2020","I downloaded this game last year. Loved it so I bought the full version and all extensions. Recently the game had an update and I lost all my progress, achievements and access to the full game. I enjoyed the game so much I was happy to play through again. But now it wants me to pay again and give access to alter my phone. So I uninstalled the game. Very much a bummer.",1,"Giant NetworkAugust 10, 2020Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!",giant networkaugust pleas send uid gpa email nofmgam hotmail com solv soon possibl thank,[3]
34,"November 13, 2020","The art style in this game is amazing, the gameplay feels satisfying even if repetitive at times and the story is simple but its not bad. 3 stars because most of the game is behind a paywall, even if its not much it stops me and im guessing other people from playing once we've done all the ftp stuff. I wish we could unlock at least some characters with challenges or quests. Edit: you gain a star for that response. Keep doing a great job with the game guys!",4,"Giant NetworkNovember 13, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networknovemb apolog inconveni caus payment part unavoid ad futur game develop thank understand support join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
37,"June 7, 2020","This is a ""slay the spire"" kind of single player adventure card game with multiple classes and several different play styles. Every enemy is voice acted and every card has very nice art. The only gripe I have with this game is that it isn't totally balanced. The soul eater and the knight class for example only really has one viable build. Soul eater can only really do an absorb build and knight can only really do an artillery equipment build (for the higher difficulties)",4,"Giant NetworkJune 7, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjun hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
39,"January 7, 2021","Had to uninstall because it did not work on my phone, that is a little old. Says ""resource incomplete"" and asks to reinstall, which I accept but it does not work still. I got a black screen for many minutes and then app stopped responding. I give 3 stars because the game looks like it would be fun, I really like these deck builder games, too bad I can't try it. I guess I will have to buy a new phone... someday. Would love to see a PC version, maybe on itch.io or steam? Just a suggestion. :)",3,"Giant NetworkJanuary 8, 2021We are sorry to hear that you feel this way. Please upgrade your Android OS～",giant networkjanuari sorri hear feel way pleas upgrad android os,[3]
41,"May 25, 2020","Great game. I do hope the devs make the game into like a coop game or make it so that you can play like multiple roles in one run, where you control red riding hood or the boy at the same time against the baddies. After i bought the game though there are times in where the game just freezes, very small inconvenience",4,"Giant NetworkMay 25, 2020Hello. Thank you for supporting us! We appreciate it so much! Your payment will bring hope for the future development of the game. If there is any issue or suggestion feel free to reach us on FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkmay hello thank support us appreci much payment bring hope futur develop game issu suggest feel free reach us fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
43,"May 28, 2020",Keeps freezing after headphones screen game is broken unless the devs have a fix.re. tried what you guys suggested did not work screenshot is just a black screen I think it has something to do with Google Play Network because that's not popping up either music is still playing in the background but it's a black screen right after put on your headphones screen,2,"Giant NetworkMay 25, 2020Sorry for the problem. You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）. If can not sovle it, please sent the screenshot to our email: nofmgame@hotmail.com.",giant networkmay sorri problem go file manag mobil storag android obb com ztgame yyzi see obb file delet file enter game see open game normal need download game sovl pleas sent screenshot email nofmgam hotmail com,[4]
44,"May 14, 2020","How do you continue the game? It started ok yesterday as my first time. Now today it just starts with a book on a table. Tapped everywhere and ""continue"" is nowhere to be found. Surely the new adventure is not what I want but its the only option. Real bad GUI if you ask me then :-(. Game does not save I guess.",1,"Giant NetworkMay 14, 2020Hello. Thank you for your feedback.We apologize for any inconvenience caused. Because the game has been updated, there will be some BUGs, and we are trying to fix it. We promise to give you a better gaming experience in the future!",giant networkmay hello thank feedback apolog inconveni caus game updat bug tri fix promis give better game experi futur,[4]
45,"July 27, 2020","This is actually a really good game. I had my doubts but it's fun and it's got some depth to it. my only issue so far is that the interface doesnt adapt to my phone. I actually cannot see the Continue Button (for continuing your adventure) and didn't find out until i had accidentally split screened. I had restarted from the beginning each time i had played previously. For the record, i have an Oppo a9 2020. Would be grateful to see the menu buttons get rearranged so i can see them all.",4,"Giant NetworkJuly 28, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
46,"June 15, 2020","The gameplay is good, the art is nice. It's just a shame that the base game is locked in permanent demo mode unless you pay ridiculous prices for the extra classes. For 5 USD this could be a goat android game but instead choose to be deceitful and predatorial in its practices. I recommend you play it once, beat it and then uninstall because the other classes arent worth the ""value"" they sell it at.",2,"Giant NetworkJune 15, 2020Greetings Hero! Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future!",giant networkjun greet hero thank support us apolog inconveni caus promis give better game experi futur,"[4, 3]"
47,"July 10, 2020","So the game is great. The story is interesting but not that big, which honestly is preferable. There is no unnecessary padding. Everything about the base gameplay is great. However for the Diaries 'mode' I've encountered a slight issue, mainly with the mage. The only way to beat the Hard mode that I've found is using a very specific (and rare) blessing which relies on my deck being able to apply the chilling effect. Adding more varied powerful cards to the harder difficulties could solve this.",4,"Giant NetworkJuly 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
49,"June 22, 2020","Great art, sounds, and music. The game let's you play though the first character role and then you have to pay, but the price isn't too bad to unlock most of the game. However, you'll still have ads and you'll still have a couple things locked behind paywalls, such as one other role and what amounts to DLC. There are some translation issues in the game, but nothing that breaks the dialogue as you can still get what they're trying to say without much effort.",4,"Giant NetworkJune 23, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjun hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
51,"September 11, 2020","Why this APK have different bodies... OBB/APK can you just make this 1 whole APK i would really appreciate if you do this next Update.... the problem is my Phone cant automatically place OBB files to Obb storage I've gotta do it manually"" Its really stressful but hood thing I knew how to do it..... NOTICE ME DEVs dont reject my Opinion",4,"Giant NetworkSeptember 11, 2020You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）",giant networkseptemb go file manag mobil storag android obb com ztgame yyzi see obb file delet file enter game see open game normal need download game,[4]
52,"February 4, 2021","Solid gameplay, great art style, and pretty balanced difficulty curve. Shame that you have to spend to unlock more classes, but for any card game that wants to be successful, 7 bucks is a minuscule price to pay for the content you get. And with the amount of care put into the game, it's clear that you should support these devs.",4,"Giant NetworkFebruary 9, 2021Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",giant networkfebruari thank love comment mean lot us issu suggest pleas feel free reach us facebook fb http www facebook com nightoffullmooncardgam mail nofmgam hotmail com fun game,[1]
53,"June 27, 2020","Felt like I was played For no additional content whatsoever, they just add in the extra unskipable advisements into the gameplay (for example when you refresh a greedy chest) and then asking for the purchase of ""ad removal"". For me who already spent money for the previous extra content now I get slapped in the face with unskipable ads I was betrayed. What a greedy company, don't recommend at all.",1,"Giant NetworkJune 27, 2020We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",giant networkjun apolog inconveni caus advertis part unavoid ad futur game develop purchas game elimin ad remov thank understand support fun game,[2]
54,"May 12, 2020","I love this game, I really do, however there needs to be a serious change to the playability of the game. I wish that all of the harder base levels of the game at least could be for free (Ranger, Nun Witch), only when you complete the previous Hardest variation of the last Difficulty I currently have 29 wins on the Knight (Hard VII) Difficulty, And there's only so much you can do the same of, since I've beat all of the achievements that you can do on knight Difficulty, so I'll do 4 stars.",4,"Giant NetworkMay 12, 2020Hello, Domin Cuba. Thank you for supporting us! We appreciate it so much! Your payment will bring hope for the future development of the game. If there is any issue or suggestion feel free to reach us on FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkmay hello domin cuba thank support us appreci much payment bring hope futur develop game issu suggest feel free reach us fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
58,"February 10, 2021","Its such and awnsome game, when i played it for the first time i had thought this would be boring but before i knew it time had flown by like 2 hours, i really love it and its simple and easy to understand as well as intresting its really a complete game, HOWEVER!! THERE ARE TO MANY THINGS YOU HAVE TO PAY FOR LIKE COME ON THIS IS WERE IT WENT DOWN HILL AT LEAST MAKE IT ABLE TO UNLOCK SOME OF THE OTHER CLASSES LIKE COMON. Please make more things free so we can enjoy our lives a bit more.",4,"Giant NetworkFebruary 19, 2021Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~",giant networkfebruari thank feedback rich game content collect explor variou activ hope tri game confid game attract enough wish happi game,[4]
59,"June 5, 2020","Used to be good, one of my favorite games on mobile. I liked that you could pay, and opt out of ads. But the new expansion is not up to the same quality standards, and they've begin adding more ads throughout, even though I have paid for the game. I uninstalled it despite having paid for all the content and won't be playing anymore. It's a reasonable game. Would have given it 4 or 5 stars a few years ago, but the new direction is unfortunate.",3,"Giant NetworkJune 7, 2020The ads is not compulsory. It will be appeared when you open the treasure. When you are fails, it will give you a blessing. If it defeats the chapter BOSS, it will give you double gold coins.Thanks for your understanding and supporting.",giant networkjun ad compulsori appear open treasur fail give bless defeat chapter boss give doubl gold coin thank understand support,[3]
60,"October 19, 2020",You can only play as the knight unless you pay. The other classes can't be unlocked otherwise. Plus the werewolf boss fight is near impossible unless your are dealing 30 damage consistently every turn for twenty turns straight. I got a good defender build and the wolf couldn't break through my armor. But I couldn't deal enough damage to compensate for his 20 health heal he does every turn. Than my deck got muddled with prank cards and it was done after that.,1,"Giant NetworkOctober 23, 2020I’m sorry to hear that. If there is any issue or suggestion feel free to reach us on our FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",giant networkoctob sorri hear issu suggest feel free reach us fb http www facebook com nightoffullmooncardgam mail nofmgam hotmail com fun game,"[3, 1]"
61,"September 11, 2020","Great game so i would recommend it. Beautiful theme and the artwork has a nice horror-comedy style to it. The gameplay is smooth and fun but with that said, It COULD be a #1 if i wasnt for the (🐖🤑 Devs) You lost one ☆ because all the content should be able to be unlocked normally as other big games did. Without money players cant have new storylines, cosmetic items, classes and pretty much anything. The collectors pack is fair but include everything with specials that cant be grinded for.",4,"Giant NetworkSeptember 14, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",giant networkseptemb thank love comment mean lot us issu suggest pleas feel free reach us facebook fb http www facebook com nightoffullmooncardgam mail nofmgam hotmail com fun game,[1]
62,"July 6, 2020","Great game, full game experience with one class and unlock other classes via IAP isn't a bad idea. Generic dialogues tho, expected something cooler like WoW characters but it's alright. Can hardly navigate between cards with big hand (large amount of cards). Otherwise, one of the few Chinese game that actually good. Kudos!",4,"Giant NetworkJuly 7, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
65,"May 15, 2020","It's a very good deck building game but lately they added more ads in game play and since I have paid for content I feel tricked. I paid to get content in a game with less ads. Edit: I bought content for a game without ads, now I have content for a game with ads. I was tricked. I can pay to remove the ads until you add some more in the future? Please do not thank me, I have no understanding to offer to you.",1,"Giant NetworkMay 13, 2020Hello. Team of ""Night of the Full Moon"". We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",giant networkmay hello team night full moon apolog inconveni caus advertis part unavoid ad futur game develop purchas game elimin ad remov thank understand support fun game,[2]
66,"June 24, 2020","Great game. If you like to challenge yourself, then there is about 8-15 hours worth of free play. You get the Knight and Magician. Both are fun. The variety of playing styles inside of each class is more robust than I would have expected. Very well done. I love the way they place the ads. They are completely optional and where they are placed well worth the extra 30 secs. 5 star if there was more free content",4,"Giant NetworkJune 27, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjun hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
68,"January 29, 2021","Significant improvement has been made in this game. Lots of bugs fixed and balancing. I recommend this game especially playing different classes. Looks like Little Red Reaping Hood is my favorite class. They made a game that makes you think, now you have a class that makes your think ""differently"". Impressive.",4,"Giant NetworkOctober 23, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",giant networkoctob thank love comment mean lot us issu suggest pleas feel free reach us facebook fb http www facebook com nightoffullmooncardgam mail nofmgam hotmail com fun game,[1]
72,"April 28, 2020",Super fun game until you realise that there is a limited amount of playtime you get before it gets dull. Although when you get to that point you can purchase each individual class and have a little fun with each or buy the collectors edition .... Which doesnt even include all content. I would still be playing the game if they werent just milking it like a cash cow.,1,"Giant NetworkApril 29, 2020Greetings Player! Thank you for supporting us! We appreciate it so much! We will give feedback to the development team. Do feel free to contact us on FB:https://www.facebook.com/NightofFullMoonCardGame/for further inquiries. Do enjoy the game! Thank you :D",giant networkapril greet player thank support us appreci much give feedback develop team feel free contact us fb http www facebook com nightoffullmooncardgam inquiri enjoy game thank,[3]
73,"January 11, 2019","+ Fast-paced card slinging combat + Unique enemies + Unique classes + Achievements & progression + Great VO and SFX - Cannot play offline - Bad English (card descriptions can sometimes be misleading) I bought all the classes. For $1 per class it's well worth it. If there were an option to play offline, I'd give it 5 stars. EDIT: I am currently unable to log in via Google Play. I get a ""login faliure"" error on each attempt.",4,"Giant NetworkOctober 19, 2018ty for ur report. you can follow our FB page: https://www.facebook.com/Night-of-Full-Moon-2217510205147246 to get the latest news and discuss with other players",giant networkoctob ty ur report follow fb page http www facebook com night full moon get latest news discuss player,"[2, 3]"
75,"October 9, 2020","I like the game, the adds are ok but I wish when you paid $5.99 it skipped them without meeting an additional payment of $2. The content of the ads themselves is an issue. I wish the developers could select ads for games that they thought were good and we might like. The game itself is fairly standard The cards and characters are interesting enough. The art is a standout. The writing is a weakness not only limited content but some basic grammatical errors. Overall this is a solid b+.",4,"Giant NetworkOctober 9, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~",giant networkoctob thank feedback rich game content collect explor variou activ hope tri game confid game attract enough wish happi game,[4]
79,"June 13, 2020","If you're a fan of deck builders and games like Slay the Spire, then you should feel right at home with this game. Aesthetically it's quaint and it's got nice sound design. Can easily recommend for playing every so often. One point to note is if you intend to play other classes you will need to pay about $1 per class. Obviously that's necessary for the designers to make an income, but if you're not looking to spend a dime you'll only have 1 class and enough content for a few runs.",3,"Giant NetworkJune 15, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjun hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
80,"August 6, 2020","You have to buy this app, but then still there are ads. They were optional, which was fine, but now they added more ads that you are required to watch to see the cards in the shop. Go to hell you greedy dicks. I already bought your game and all your dlc and THIS is the thanks you give me? Uninstalling and never buying a product from you again you money grubbing ingrates.",1,"Giant NetworkAugust 7, 2020We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",giant networkaugust apolog inconveni caus advertis part unavoid ad futur game develop purchas game elimin ad remov thank understand support fun game,[2]
81,"July 5, 2020","Fun and exciting game until you realise that you have to pay and pay in order to move forward and use other characters. And the crazy part is, they updated the game and place ads and then offer you to pay to remove the ads! That is so f**ked up! Have to uninstall the game after being annoyed so much.",1,"Giant NetworkJuly 6, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!",giant networkjuli apolog inconveni caus payment part unavoid ad futur game develop thank understand support fun game,[2]
84,"May 30, 2020","I played this a few years ago when it had just been released, and I wasn't that impressed. Picking it up again now, gameplay has become better, there are options to watch ads to resurrect and double your coins, more bosses to fight. I have also bought one expansion. My only wish is that I could use the same deck for longer, I feel I have only just managed to max out my cards and get a good hand, when it all ends and I have to start again. Totally recommend it though, it's fun.",4,"Giant NetworkMay 31, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkmay hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
85,"May 15, 2019","The game itself has some nice art and is a fun game to pass some time with. I'm giving it a low rating though because i purchased the game before it became free and had 2 extra classes, after it became free i had to purchase them separately and could only use the basic one. I contacted them and sent them the receipt but they never got back to me. I don't really care about the money (it was pretty cheap anyway) but their action and lack of response.",1,"Giant NetworkMay 15, 2019Hi Alex, really sorry about the problem. May I ask your User ID here, so that I'll unlock the characters for you.",giant networkmay hi alex realli sorri problem may ask user id unlock charact,[1]
