,date,review,star,res,clean_content,topic
28,"August 1, 2020","Love it Just love how the narrative taking a different kind of approach to tell a story thats youve hear countless of times Altho its a bit lacking in terms of gameplay I do like a card, rogue-elite kinda game but this def not stand above em The music in the other hand my god the audio all the sounds that produced by this game is masterpiece yeah and the voice actor too, awesome",4,"Giant NetworkAugust 3, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",love love narr take differ kind approach tell stori that youv hear countless time altho bit lack term gameplay like card rogu elit kinda game def stand em music hand god audio sound produc game masterpiec yeah voic actor awesom,[0]
29,"August 24, 2020","The game looks very good, but.... I just don't get the gameplay. You get 2 cards (or more with upgrades) per turn... and you play those 2 cards (or how many you have). There is zero decision making. Sure, you choose the cards and upgrades between fights, but why do I even have to play the fights when there is no decision involved? Just automatically play the damn cards! There are better versions of this genre, this one is very boring.",2,"Giant NetworkAugust 24, 2020We will optimize the game！",game look good get gameplay get card upgrad per turn play card mani zero decis make sure choos card upgrad fight even play fight decis involv automat play damn card better version genr one bore,[0]
30,"June 26, 2020","Fun, simple deckbuilder that's still in early stages of development. Gameplay is solid. Will rate 5 stars when the game is more polished. It currently still needs spelling corrections (word ""tune"" needs to be ""turn"" in UI tooltips for example), & needs a good native English speaker to fix subject-verb agreement in a few descriptions.",4,"Giant NetworkJune 27, 2020We'll optimize the spelling！",fun simpl deckbuild still earli stage develop gameplay solid rate star game polish current still need spell correct word tune need turn ui tooltip exampl need good nativ english speaker fix subject verb agreement descript,[1]
32,"August 8, 2020","I downloaded this game last year. Loved it so I bought the full version and all extensions. Recently the game had an update and I lost all my progress, achievements and access to the full game. I enjoyed the game so much I was happy to play through again. But now it wants me to pay again and give access to alter my phone. So I uninstalled the game. Very much a bummer.",1,"Giant NetworkAugust 10, 2020Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!",download game last year love bought full version extens recent game updat lost progress achiev access full game enjoy game much happi play want pay give access alter phone uninstal game much bummer,[1]
34,"November 13, 2020","The art style in this game is amazing, the gameplay feels satisfying even if repetitive at times and the story is simple but its not bad. 3 stars because most of the game is behind a paywall, even if its not much it stops me and im guessing other people from playing once we've done all the ftp stuff. I wish we could unlock at least some characters with challenges or quests. Edit: you gain a star for that response. Keep doing a great job with the game guys!",4,"Giant NetworkNovember 13, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",art style game amaz gameplay feel satisfi even repetit time stori simpl bad star game behind paywal even much stop im guess peopl play done ftp stuff wish could unlock least charact challeng quest edit gain star respons keep great job game guy,[2]
37,"June 7, 2020","This is a ""slay the spire"" kind of single player adventure card game with multiple classes and several different play styles. Every enemy is voice acted and every card has very nice art. The only gripe I have with this game is that it isn't totally balanced. The soul eater and the knight class for example only really has one viable build. Soul eater can only really do an absorb build and knight can only really do an artillery equipment build (for the higher difficulties)",4,"Giant NetworkJune 7, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",slay spire kind singl player adventur card game multipl class sever differ play style everi enemi voic act everi card nice art gripe game total balanc soul eater knight class exampl realli one viabl build soul eater realli absorb build knight realli artilleri equip build higher difficulti,"[1, 0]"
39,"January 7, 2021","Had to uninstall because it did not work on my phone, that is a little old. Says ""resource incomplete"" and asks to reinstall, which I accept but it does not work still. I got a black screen for many minutes and then app stopped responding. I give 3 stars because the game looks like it would be fun, I really like these deck builder games, too bad I can't try it. I guess I will have to buy a new phone... someday. Would love to see a PC version, maybe on itch.io or steam? Just a suggestion. :)",3,"Giant NetworkJanuary 8, 2021We are sorry to hear that you feel this way. Please upgrade your Android OS～",uninstal work phone littl old say resourc incomplet ask reinstal accept work still got black screen mani minut app stop respond give star game look like would fun realli like deck builder game bad tri guess buy new phone someday would love see pc version mayb itch io steam suggest,[0]
41,"May 25, 2020","Great game. I do hope the devs make the game into like a coop game or make it so that you can play like multiple roles in one run, where you control red riding hood or the boy at the same time against the baddies. After i bought the game though there are times in where the game just freezes, very small inconvenience",4,"Giant NetworkMay 25, 2020Hello. Thank you for supporting us! We appreciate it so much! Your payment will bring hope for the future development of the game. If there is any issue or suggestion feel free to reach us on FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",great game hope dev make game like coop game make play like multipl role one run control red ride hood boy time baddi bought game though time game freez small inconveni,[1]
43,"May 28, 2020",Keeps freezing after headphones screen game is broken unless the devs have a fix.re. tried what you guys suggested did not work screenshot is just a black screen I think it has something to do with Google Play Network because that's not popping up either music is still playing in the background but it's a black screen right after put on your headphones screen,2,"Giant NetworkMay 25, 2020Sorry for the problem. You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）. If can not sovle it, please sent the screenshot to our email: nofmgame@hotmail.com.",keep freez headphon screen game broken unless dev fix tri guy suggest work screenshot black screen think someth googl play network pop either music still play background black screen right put headphon screen,"[0, 2]"
44,"May 14, 2020","How do you continue the game? It started ok yesterday as my first time. Now today it just starts with a book on a table. Tapped everywhere and ""continue"" is nowhere to be found. Surely the new adventure is not what I want but its the only option. Real bad GUI if you ask me then :-(. Game does not save I guess.",1,"Giant NetworkMay 14, 2020Hello. Thank you for your feedback.We apologize for any inconvenience caused. Because the game has been updated, there will be some BUGs, and we are trying to fix it. We promise to give you a better gaming experience in the future!",continu game start ok yesterday first time today start book tabl tap everywher continu nowher found sure new adventur want option real bad gui ask game save guess,[2]
45,"July 27, 2020","This is actually a really good game. I had my doubts but it's fun and it's got some depth to it. my only issue so far is that the interface doesnt adapt to my phone. I actually cannot see the Continue Button (for continuing your adventure) and didn't find out until i had accidentally split screened. I had restarted from the beginning each time i had played previously. For the record, i have an Oppo a9 2020. Would be grateful to see the menu buttons get rearranged so i can see them all.",4,"Giant NetworkJuly 28, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",actual realli good game doubt fun got depth issu far interfac doesnt adapt phone actual cannot see continu button continu adventur find accident split screen restart begin time play previous record oppo would grate see menu button get rearrang see,[0]
46,"June 15, 2020","The gameplay is good, the art is nice. It's just a shame that the base game is locked in permanent demo mode unless you pay ridiculous prices for the extra classes. For 5 USD this could be a goat android game but instead choose to be deceitful and predatorial in its practices. I recommend you play it once, beat it and then uninstall because the other classes arent worth the ""value"" they sell it at.",2,"Giant NetworkJune 15, 2020Greetings Hero! Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future!",gameplay good art nice shame base game lock perman demo mode unless pay ridicul price extra class usd could goat android game instead choos deceit predatori practic recommend play beat uninstal class arent worth valu sell,[0]
47,"July 10, 2020","So the game is great. The story is interesting but not that big, which honestly is preferable. There is no unnecessary padding. Everything about the base gameplay is great. However for the Diaries 'mode' I've encountered a slight issue, mainly with the mage. The only way to beat the Hard mode that I've found is using a very specific (and rare) blessing which relies on my deck being able to apply the chilling effect. Adding more varied powerful cards to the harder difficulties could solve this.",4,"Giant NetworkJuly 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",game great stori interest big honestli prefer unnecessari pad everyth base gameplay great howev diari mode encount slight issu mainli mage way beat hard mode found use specif rare bless reli deck abl appli chill effect ad vari power card harder difficulti could solv,[1]
49,"June 22, 2020","Great art, sounds, and music. The game let's you play though the first character role and then you have to pay, but the price isn't too bad to unlock most of the game. However, you'll still have ads and you'll still have a couple things locked behind paywalls, such as one other role and what amounts to DLC. There are some translation issues in the game, but nothing that breaks the dialogue as you can still get what they're trying to say without much effort.",4,"Giant NetworkJune 23, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",great art sound music game let play though first charact role pay price bad unlock game howev still ad still coupl thing lock behind paywal one role amount dlc translat issu game noth break dialogu still get tri say without much effort,"[0, 2]"
51,"September 11, 2020","Why this APK have different bodies... OBB/APK can you just make this 1 whole APK i would really appreciate if you do this next Update.... the problem is my Phone cant automatically place OBB files to Obb storage I've gotta do it manually"" Its really stressful but hood thing I knew how to do it..... NOTICE ME DEVs dont reject my Opinion",4,"Giant NetworkSeptember 11, 2020You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）",apk differ bodi obb apk make whole apk would realli appreci next updat problem phone cant automat place obb file obb storag gotta manual realli stress hood thing knew notic dev dont reject opinion,"[0, 1, 2]"
52,"February 4, 2021","Solid gameplay, great art style, and pretty balanced difficulty curve. Shame that you have to spend to unlock more classes, but for any card game that wants to be successful, 7 bucks is a minuscule price to pay for the content you get. And with the amount of care put into the game, it's clear that you should support these devs.",4,"Giant NetworkFebruary 9, 2021Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",solid gameplay great art style pretti balanc difficulti curv shame spend unlock class card game want success buck minuscul price pay content get amount care put game clear support dev,[1]
53,"June 27, 2020","Felt like I was played For no additional content whatsoever, they just add in the extra unskipable advisements into the gameplay (for example when you refresh a greedy chest) and then asking for the purchase of ""ad removal"". For me who already spent money for the previous extra content now I get slapped in the face with unskipable ads I was betrayed. What a greedy company, don't recommend at all.",1,"Giant NetworkJune 27, 2020We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",felt like play addit content whatsoev add extra unskip advis gameplay exampl refresh greedi chest ask purchas ad remov alreadi spent money previou extra content get slap face unskip ad betray greedi compani recommend,[2]
54,"May 12, 2020","I love this game, I really do, however there needs to be a serious change to the playability of the game. I wish that all of the harder base levels of the game at least could be for free (Ranger, Nun Witch), only when you complete the previous Hardest variation of the last Difficulty I currently have 29 wins on the Knight (Hard VII) Difficulty, And there's only so much you can do the same of, since I've beat all of the achievements that you can do on knight Difficulty, so I'll do 4 stars.",4,"Giant NetworkMay 12, 2020Hello, Domin Cuba. Thank you for supporting us! We appreciate it so much! Your payment will bring hope for the future development of the game. If there is any issue or suggestion feel free to reach us on FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",love game realli howev need seriou chang playabl game wish harder base level game least could free ranger nun witch complet previou hardest variat last difficulti current win knight hard vii difficulti much sinc beat achiev knight difficulti star,[1]
58,"February 10, 2021","Its such and awnsome game, when i played it for the first time i had thought this would be boring but before i knew it time had flown by like 2 hours, i really love it and its simple and easy to understand as well as intresting its really a complete game, HOWEVER!! THERE ARE TO MANY THINGS YOU HAVE TO PAY FOR LIKE COME ON THIS IS WERE IT WENT DOWN HILL AT LEAST MAKE IT ABLE TO UNLOCK SOME OF THE OTHER CLASSES LIKE COMON. Please make more things free so we can enjoy our lives a bit more.",4,"Giant NetworkFebruary 19, 2021Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~",awnsom game play first time thought would bore knew time flown like hour realli love simpl easi understand well intrest realli complet game howev mani thing pay like come went hill least make abl unlock class like comon pleas make thing free enjoy live bit,"[0, 2]"
59,"June 5, 2020","Used to be good, one of my favorite games on mobile. I liked that you could pay, and opt out of ads. But the new expansion is not up to the same quality standards, and they've begin adding more ads throughout, even though I have paid for the game. I uninstalled it despite having paid for all the content and won't be playing anymore. It's a reasonable game. Would have given it 4 or 5 stars a few years ago, but the new direction is unfortunate.",3,"Giant NetworkJune 7, 2020The ads is not compulsory. It will be appeared when you open the treasure. When you are fails, it will give you a blessing. If it defeats the chapter BOSS, it will give you double gold coins.Thanks for your understanding and supporting.",use good one favorit game mobil like could pay opt ad new expans qualiti standard begin ad ad throughout even though paid game uninstal despit paid content play anymor reason game would given star year ago new direct unfortun,[2]
60,"October 19, 2020",You can only play as the knight unless you pay. The other classes can't be unlocked otherwise. Plus the werewolf boss fight is near impossible unless your are dealing 30 damage consistently every turn for twenty turns straight. I got a good defender build and the wolf couldn't break through my armor. But I couldn't deal enough damage to compensate for his 20 health heal he does every turn. Than my deck got muddled with prank cards and it was done after that.,1,"Giant NetworkOctober 23, 2020I’m sorry to hear that. If there is any issue or suggestion feel free to reach us on our FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",play knight unless pay class unlock otherwis plu werewolf boss fight near imposs unless deal damag consist everi turn twenti turn straight got good defend build wolf break armor deal enough damag compens health heal everi turn deck got muddl prank card done,[1]
61,"September 11, 2020","Great game so i would recommend it. Beautiful theme and the artwork has a nice horror-comedy style to it. The gameplay is smooth and fun but with that said, It COULD be a #1 if i wasnt for the (🐖🤑 Devs) You lost one ☆ because all the content should be able to be unlocked normally as other big games did. Without money players cant have new storylines, cosmetic items, classes and pretty much anything. The collectors pack is fair but include everything with specials that cant be grinded for.",4,"Giant NetworkSeptember 14, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",great game would recommend beauti theme artwork nice horror comedi style gameplay smooth fun said could wasnt dev lost one content abl unlock normal big game without money player cant new storylin cosmet item class pretti much anyth collector pack fair includ everyth special cant grind,[2]
62,"July 6, 2020","Great game, full game experience with one class and unlock other classes via IAP isn't a bad idea. Generic dialogues tho, expected something cooler like WoW characters but it's alright. Can hardly navigate between cards with big hand (large amount of cards). Otherwise, one of the few Chinese game that actually good. Kudos!",4,"Giant NetworkJuly 7, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",great game full game experi one class unlock class via iap bad idea gener dialogu tho expect someth cooler like wow charact alright hardli navig card big hand larg amount card otherwis one chines game actual good kudo,[0]
65,"May 15, 2020","It's a very good deck building game but lately they added more ads in game play and since I have paid for content I feel tricked. I paid to get content in a game with less ads. Edit: I bought content for a game without ads, now I have content for a game with ads. I was tricked. I can pay to remove the ads until you add some more in the future? Please do not thank me, I have no understanding to offer to you.",1,"Giant NetworkMay 13, 2020Hello. Team of ""Night of the Full Moon"". We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",good deck build game late ad ad game play sinc paid content feel trick paid get content game less ad edit bought content game without ad content game ad trick pay remov ad add futur pleas thank understand offer,[2]
66,"June 24, 2020","Great game. If you like to challenge yourself, then there is about 8-15 hours worth of free play. You get the Knight and Magician. Both are fun. The variety of playing styles inside of each class is more robust than I would have expected. Very well done. I love the way they place the ads. They are completely optional and where they are placed well worth the extra 30 secs. 5 star if there was more free content",4,"Giant NetworkJune 27, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",great game like challeng hour worth free play get knight magician fun varieti play style insid class robust would expect well done love way place ad complet option place well worth extra sec star free content,[2]
68,"January 29, 2021","Significant improvement has been made in this game. Lots of bugs fixed and balancing. I recommend this game especially playing different classes. Looks like Little Red Reaping Hood is my favorite class. They made a game that makes you think, now you have a class that makes your think ""differently"". Impressive.",4,"Giant NetworkOctober 23, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",signific improv made game lot bug fix balanc recommend game especi play differ class look like littl red reap hood favorit class made game make think class make think differ impress,[1]
72,"April 28, 2020",Super fun game until you realise that there is a limited amount of playtime you get before it gets dull. Although when you get to that point you can purchase each individual class and have a little fun with each or buy the collectors edition .... Which doesnt even include all content. I would still be playing the game if they werent just milking it like a cash cow.,1,"Giant NetworkApril 29, 2020Greetings Player! Thank you for supporting us! We appreciate it so much! We will give feedback to the development team. Do feel free to contact us on FB:https://www.facebook.com/NightofFullMoonCardGame/for further inquiries. Do enjoy the game! Thank you :D",super fun game realis limit amount playtim get get dull although get point purchas individu class littl fun buy collector edit doesnt even includ content would still play game werent milk like cash cow,[2]
73,"January 11, 2019","+ Fast-paced card slinging combat + Unique enemies + Unique classes + Achievements & progression + Great VO and SFX - Cannot play offline - Bad English (card descriptions can sometimes be misleading) I bought all the classes. For $1 per class it's well worth it. If there were an option to play offline, I'd give it 5 stars. EDIT: I am currently unable to log in via Google Play. I get a ""login faliure"" error on each attempt.",4,"Giant NetworkOctober 19, 2018ty for ur report. you can follow our FB page: https://www.facebook.com/Night-of-Full-Moon-2217510205147246 to get the latest news and discuss with other players",fast pace card sling combat uniqu enemi uniqu class achiev progress great vo sfx cannot play offlin bad english card descript sometim mislead bought class per class well worth option play offlin give star edit current unabl log via googl play get login faliur error attempt,[1]
75,"October 9, 2020","I like the game, the adds are ok but I wish when you paid $5.99 it skipped them without meeting an additional payment of $2. The content of the ads themselves is an issue. I wish the developers could select ads for games that they thought were good and we might like. The game itself is fairly standard The cards and characters are interesting enough. The art is a standout. The writing is a weakness not only limited content but some basic grammatical errors. Overall this is a solid b+.",4,"Giant NetworkOctober 9, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~",like game add ok wish paid skip without meet addit payment content ad issu wish develop could select ad game thought good might like game fairli standard card charact interest enough art standout write weak limit content basic grammat error overal solid b,[2]
79,"June 13, 2020","If you're a fan of deck builders and games like Slay the Spire, then you should feel right at home with this game. Aesthetically it's quaint and it's got nice sound design. Can easily recommend for playing every so often. One point to note is if you intend to play other classes you will need to pay about $1 per class. Obviously that's necessary for the designers to make an income, but if you're not looking to spend a dime you'll only have 1 class and enough content for a few runs.",3,"Giant NetworkJune 15, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",fan deck builder game like slay spire feel right home game aesthet quaint got nice sound design easili recommend play everi often one point note intend play class need pay per class obvious necessari design make incom look spend dime class enough content run,[0]
80,"August 6, 2020","You have to buy this app, but then still there are ads. They were optional, which was fine, but now they added more ads that you are required to watch to see the cards in the shop. Go to hell you greedy dicks. I already bought your game and all your dlc and THIS is the thanks you give me? Uninstalling and never buying a product from you again you money grubbing ingrates.",1,"Giant NetworkAugust 7, 2020We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",buy app still ad option fine ad ad requir watch see card shop go hell greedi dick alreadi bought game dlc thank give uninstal never buy product money grub ingrat,[2]
