web-scraper-order,web-scraper-start-url,reviewer,date,review,star,res
"1614875612-3140","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Andrew Ng","October 23, 2018","","Rated 5 stars out of five stars","Giant NetworkOctober 24, 2018Ty for ur feedback. We will keep moving and improve this game constantly. Btw, welcome to our FB page: https://www.facebook.com/Night-of-Full-Moon-2217510205147246
to get the latest news, lore and walkthrough, and communicate with other players."
"1614875612-2355","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Hey Imdepressedpleasesendhelp","September 15, 2018","I have no problem with the concept of the game. I think it's unique and quite enjoyable. However it is possible to run into problems with purchases and the customer support for it is really really bad. They want you to join a group which has a Chinese name and description with a Chinese app and to join the group you have to answer a question but the question is in Chinese and it was hard enough to use google image translate to recognize the text on it and on top that when I finally understood what it said on the description of the group I learned that the ""support hours are between 10 to 18 o'clock"" are not helpful one bit because it is not said whether it is in Chinese time zone or not. Seriously this game has over 100,000 downloads and the devs don't even have a support channel for non Chinese people. Edit: Turns out you have to click on the purchase button once more for the game to register that you've bought it. Just spent 45 mins trying to get to the support for a fix for something so simple that I had no idea to fix. The support needs to improve a lot.","Rated 4 stars out of five stars","null"
"1614875612-1242","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Vadims Lomonovskis","November 20, 2020","Genios work. Very simple but interesting game play, very different tactics available and amazing art. Even story, although short and based on known tale, still interesting to follow. Big thanks to developers, your work inspiring! Also, very good policy about manitisation. Although there are adds, they are not overwhelming and you can avoid them without negative affect on game play. You can support developers buy purchasing new content and it is first mobile game where I did so. I do suggest it!","Rated 5 stars out of five stars","Giant NetworkNovember 24, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"1614875612-1565","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","sababa alhaq","October 8, 2020","","Rated 5 stars out of five stars","Giant NetworkOctober 9, 2020Hello! We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 29,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"1614875612-2950","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","SDR","October 1, 2018","Great game but it's broken no way to get hp and I am now with 8 hp,I beat an enemy and did not got the level for 2 points and now there is no way to win the else opponents to keep playing in other words it's a complete waste of time,fix the healing-mechanics of the game otherwise everyone will get to a point like mine and give this game zero starts(as it deserves at this moment)oh and btw I the point where I am there are no bandages no healing potions nothing besides enemies and I am with 8 hp against 10 lvl monsters with their amount of health points being more than 100,YIKES!","Rated 1 stars out of five stars","null"
"1614875612-3984","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jeriko imannuel","February 19, 2019","","Rated 5 stars out of five stars","null"
"1614875612-1876","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Aaron Mendoza","September 21, 2018","Honestly great game overall. You only get once class unless you pay, but once you get a hang if it you can beat the entire game with it. The games gets more and more complex as you advance and play the story again and again with multiple bosses, enemies, and choice aspects which require some thought and planning. You have to be able to build a streamlined deck and have synergy between your cards while working around the page limits per chapter. There is some grind, but its not bad and the game can get very spammy. Really fun game you can spend a few minutes or hours playing. Would recomend.","Rated 4 stars out of five stars","null"
"1614875612-1461","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","hannah d","October 16, 2020","","Rated 5 stars out of five stars","null"
"1614875612-1195","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ben Bottoms","October 29, 2020","Great game, fun art, new classes only cost $1 and it's a one and done kind of thing. I just wish there was more for me to work towards because I got all of the talents in one night of playing. Will there be updates that will increase reasons to replay? The game is fun, the story is interesting, I love the art, unfortunately I'm getting burned out.","Rated 4 stars out of five stars","null"
"1614875612-1053","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","William Burger","February 13, 2021","","Rated 5 stars out of five stars","Giant NetworkFebruary 19, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2770","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Fable","May 4, 2020","this game was originally a game you could play offline, but now I need wifi in order to play which is annoying. a lot of times through the week I dont have wifi and this game was my entertainment. if I cant play offline I'm probably just going to end up deleting it because that's the time I played most often.","Rated 2 stars out of five stars","Giant NetworkMay 4, 2020Hello, dear Madi. Thanks for your comment. You only need to download some resources with WiFi, and then you can play offline. We apologize for any inconvenience caused. Thanks for your understanding and supporting. Have fun gaming!❤️"
"1614875612-1019","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Opposite Day","February 19, 2021","","Rated 5 stars out of five stars","Giant NetworkFebruary 19, 2021Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!"
"1614875612-1218","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Mikhael Fendy","October 30, 2020","The Nature Spirit boss fight is hella buggy. After lose and in need to watch the ads to ressurect, the game freeze after i finished watching the ads. So l need to force closed the game in the end. Then after i finally managed to almost killed the boss, the game freeze when i try to use a card. And ofc, after force closed, i need to RESTART THE WHOLE BATTLE! It happened twice, I can't win. If these bugs are specific to certain phone spec like my Realme pro 3, then i might consider uninstall.","Rated 3 stars out of five stars","Giant NetworkOctober 30, 2020We are sorry to hear that you feel this way. Please send us a screenshot of the game: nofmgame@hotmail.com"
"1614875612-4386","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Harsha Kapa","July 19, 2020","","Rated 5 stars out of five stars","Giant NetworkJuly 20, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2866","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Brandon Jones","May 15, 2019","","Rated 5 stars out of five stars","Giant NetworkMay 15, 2019Hi, Sorry about the it, a lot of had login problem. We suffered some network problem last two days.
Now, we might have worked it out, please try it again."
"1614875612-1153","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","MR. brown","January 23, 2021","","Rated 5 stars out of five stars","Giant NetworkJanuary 29, 2021Good day to you! Thank you for your feedback Because our main goal is to provide everyone with the best gaming experience, we are going to keep your input in mind."
"1614875612-2372","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Z3RUS VG","March 25, 2020","The game is great, the issue I'm having is even after beating knight on hardest difficulty, I still don't have access to the other so called ""free"" classes. The new ones behind paywall is fine but the other 2? It wants me to pay for every single character just to get a little more variety? I would gladly give this 5 stars if it wasn't for the fact that I only get 1 class to use over and over again. It's getting stale and this is common practice now for companies.","Rated 3 stars out of five stars","null"
"1614875612-5026","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Luxic","October 22, 2018","","Rated 4 stars out of five stars","Giant NetworkOctober 22, 2018Just start a new game! That's the soul of such kind of roguelike game."
"1614875612-4112","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Gastral Lux","July 4, 2020","","Rated 3 stars out of five stars","Giant NetworkJuly 6, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4249","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Pertti Kontio","November 4, 2018","","Rated 1 stars out of five stars","null"
"1614875612-4715","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Luis Bracho","December 26, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2537","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Stephen Riggs","June 6, 2020","Edit revised. I finally beat Grandma! YES! I've added the other paid features. I'm very impressed and happy with the game. The price is fare. Not tricks. One time + extra if you want. But not overly pay to play! So I really respect that fact. You can play free. ads are worth watching to double the gold award! fun all around. After playing for months it's my #1 all time favorite card games. Voices are hilarious. Diaries add on awesome! Please add more chapters. Game deserves a sequel! Well done!","Rated 5 stars out of five stars","Giant NetworkMay 25, 2020Hello. Thank you for supporting us! You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2953","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Henrik Franzén","July 6, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2302","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","José Ramón Pepino Ojeda Martín","October 8, 2019","Redhood got nicer I was gladly surprised by this simple yet innovative game with it's thematic all surrounding the children fairy tale, the graphics are beautiful, the monsters are very cute and funny, their English voiceovers are exceptional, the story is riveting. The cons are that you don't have any way of unlocking the other contents without real life money, is fair, I know, just a little bit dissapointing. And also the typos and poorly revised grammar at the endings kinda kill the mood.","Rated 4 stars out of five stars","null"
"1614875612-1079","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Darrion DuBay","January 21, 2021","I'm very choice with my reviews. But this game deserves it. I've literally been playing it for years. YEAAAAAARS! Super fun roguelike with a lot of replayability that you can learn for a challenge or even play casually. I will say there is paid dlc, but im pretty sure you pay like 10 dollars total for all classes and the expanses and for the content, I'd compare it to slay the spire. I'd say even better. In my mind amongst my favourite rogue lites.","Rated 5 stars out of five stars","Giant NetworkJanuary 22, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-1038","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jared","February 23, 2021","","Rated 5 stars out of five stars","Giant NetworkFebruary 26, 2021Good day to you! Thank you for your feedback Because our main goal is to provide everyone with the best gaming experience, we are going to keep your input in mind."
"1614875612-1048","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jesus Hernandez","February 20, 2021","","Rated 5 stars out of five stars","Giant NetworkFebruary 26, 2021We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 31,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"1614875612-3391","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Yasaa Siddiqui","September 30, 2018","At first it's gonna hook you up. It's interesting n fun but the bosses man...I even bought other professions to beat the boss but other than witch u can't beat any. They've made them OP n with extra lives n each time they come with extra health n some even stole urs!...it's an unfair match. Wish I could get refund for wasting so much time to beat the impossible. Hate this game now!","Rated 3 stars out of five stars","null"
"1614875612-1328","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","billy haas","November 9, 2020","","Rated 5 stars out of five stars","Giant NetworkMay 31, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3794","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Eric Shelton","January 31, 2020","","Rated 5 stars out of five stars","null"
"1614875612-4883","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Nick LeMay","March 6, 2019","","Rated 4 stars out of five stars","null"
"1614875612-3818","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Drewball Segura","February 13, 2020","It was fun until you fall to 1 hp and then u can't heal. All u can do is repeat it and keep dying. You are basically stuck in a loop. That is terable and they want you to pay cash for the game when u can get stuck in the game like this. This is a really really bad game. The game got so much worst because I tried again and know the only way to win is to use real money ain't no longer a game but just a money app.","Rated 1 stars out of five stars","null"
"1614875612-1850","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Brandon Lopina","October 16, 2018","I found this little game quite charming. I was pleasantly surprised that the voice acting was actually quite good. The music is also very fitting for the setting. I was reminded of Slay the Spire in an enjoyable way. One can pay to unlock more classes and harder difficulties for .99 cent each but I wish there was a full paid for version of the game that was a slight discount that came with all of the classes.","Rated 5 stars out of five stars","null"
"1614875612-4716","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Andre Amazeen","March 30, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3115","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","zhong zhenyu","August 8, 2020","","Rated 5 stars out of five stars","Giant NetworkAugust 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3752","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","c siebester","November 3, 2018","","Rated 4 stars out of five stars","null"
"1614875612-2760","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Tynnin Tyr","October 30, 2019","","Rated 3 stars out of five stars","null"
"1614875612-4675","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Eric Witherspoon","November 28, 2018","","Rated 5 stars out of five stars","null"
"1614875612-1724","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Al45kan 907","September 10, 2020","Wish there was at least 2 other classes & paths we can play, really disappointing short game for free player. Like other card games every class is unlock except for 1, why couldn't this card game be like that? Sigh this game is taken over by greed & it shows. You'd probably have over 5m downloaded if this game more had classes & paths. For real just think of how fun free players have, I know there's more free players than buyers! We probably make you more $ than paid players via ad. Damn it","Rated 2 stars out of five stars","Giant NetworkSeptember 11, 2020Thank you for supporting us! We appreciate it so much! The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!"
"1614875612-1600","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","teddy bear","October 21, 2020","","Rated 4 stars out of five stars","Giant NetworkOctober 22, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-1190","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Todd","November 25, 2020","Good game. Still has glitches after beta. You cannot have more than a specific number of cards in your hand at the end of your turn. The game forces you to discard all remaining cards until you reach the maximum allowed at the end of the turn. There are deck and card options that will cause duplicate or extra cards to generate on an attack or action. This causes a bug during the discard period. The game will only allow you to select two cards to discard, preventing end of turn.","Rated 4 stars out of five stars","Giant NetworkNovember 27, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
